Folder: addins, Size: 802
Folder: mcplayerinterop, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 207872
Folder: mcstore, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 638976
Folder: Microsoft.AnalysisServices, Size: 0
Folder: 11.0.0.0__89845dcd8080cc91, Size: 1523200
Folder: 12.0.0.0__89845dcd8080cc91, Size: 1541312
Folder: Microsoft.AnalysisServices.AdomdClient, Size: 0
Folder: 11.0.0.0__89845dcd8080cc91, Size: 683520
Folder: 12.0.0.0__89845dcd8080cc91, Size: 694464
Folder: Microsoft.AnalysisServices.SPClient.Interfaces, Size: 0
Folder: 11.0.0.0__89845dcd8080cc91, Size: 40432
Folder: 12.0.0.0__89845dcd8080cc91, Size: 30912
Folder: Microsoft.AnalysisServices.Wizard.v1, Size: 0
Folder: 11.0.0.0__89845dcd8080cc91, Size: 609768
Folder: 12.0.0.0__89845dcd8080cc91, Size: 601792
Folder: Microsoft.AnalysisServices.Wizard.v1.resources, Size: 0
Folder: 11.0.0.0_de_89845dcd8080cc91, Size: 241128
Folder: 11.0.0.0_es_89845dcd8080cc91, Size: 241128
Folder: 11.0.0.0_fr_89845dcd8080cc91, Size: 241128
Folder: 11.0.0.0_it_89845dcd8080cc91, Size: 241152
Folder: 11.0.0.0_ja_89845dcd8080cc91, Size: 241152
Folder: 11.0.0.0_ko_89845dcd8080cc91, Size: 241128
Folder: 11.0.0.0_pt_89845dcd8080cc91, Size: 241128
Folder: 11.0.0.0_ru_89845dcd8080cc91, Size: 241128
Folder: 11.0.0.0_zh-CHS_89845dcd8080cc91, Size: 241152
Folder: 11.0.0.0_zh-CHT_89845dcd8080cc91, Size: 241152
Folder: Microsoft.AnalysisServices.Xmla, Size: 0
Folder: 11.0.0.0__89845dcd8080cc91, Size: 364016
Folder: 12.0.0.0__89845dcd8080cc91, Size: 388800
Folder: Microsoft.ApplicationId.Framework, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 126976
Folder: Microsoft.ApplicationId.Framework.Resources, Size: 0
Folder: 6.1.0.0_en_31bf3856ad364e35, Size: 12800
Folder: Microsoft.ApplicationId.RuleWizard, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 339968
Folder: Microsoft.ApplicationId.RuleWizard.Resources, Size: 0
Folder: 6.1.0.0_en_31bf3856ad364e35, Size: 221184
Folder: Microsoft.BackgroundIntelligentTransfer.Management, Size: 0
Folder: 1.0.0.0__31bf3856ad364e35, Size: 57344
Folder: Microsoft.BackgroundIntelligentTransfer.Management.Resources, Size: 0
Folder: 1.0.0.0_en_31bf3856ad364e35, Size: 7168
Folder: Microsoft.Build.Conversion.v3.5, Size: 0
Folder: 3.5.0.0__b03f5f7f11d50a3a, Size: 106496
Folder: Microsoft.Build.Engine, Size: 0
Folder: 2.0.0.0__b03f5f7f11d50a3a, Size: 348160
Folder: 3.5.0.0__b03f5f7f11d50a3a, Size: 733184
Folder: Microsoft.Build.Framework, Size: 0
Folder: 2.0.0.0__b03f5f7f11d50a3a, Size: 36864
Folder: 3.5.0.0__b03f5f7f11d50a3a, Size: 36864
Folder: Microsoft.Build.Tasks, Size: 0
Folder: 2.0.0.0__b03f5f7f11d50a3a, Size: 655360
Folder: Microsoft.Build.Tasks.v3.5, Size: 0
Folder: 3.5.0.0__b03f5f7f11d50a3a, Size: 802816
Folder: Microsoft.Build.Utilities, Size: 0
Folder: 2.0.0.0__b03f5f7f11d50a3a, Size: 77824
Folder: Microsoft.Build.Utilities.v3.5, Size: 0
Folder: 3.5.0.0__b03f5f7f11d50a3a, Size: 94208
Folder: Microsoft.DataWarehouse.Interfaces, Size: 0
Folder: 11.0.0.0__89845dcd8080cc91, Size: 48616
Folder: 12.0.0.0__89845dcd8080cc91, Size: 40128
Folder: Microsoft.ExceptionMessageBox, Size: 0
Folder: 11.0.0.0__89845dcd8080cc91, Size: 146520
Folder: 12.0.0.0__89845dcd8080cc91, Size: 137408
Folder: Microsoft.Exchange.WebServices, Size: 0
Folder: 15.0.0.0__31bf3856ad364e35, Size: 1130264
Folder: Microsoft.GroupPolicy.Reporting, Size: 0
Folder: 2.0.0.0__31bf3856ad364e35, Size: 1851392
Folder: Microsoft.GroupPolicy.Reporting.Resources, Size: 0
Folder: 2.0.0.0_en_31bf3856ad364e35, Size: 471040
Folder: Microsoft.IdentityModel, Size: 0
Folder: 3.5.0.0__31bf3856ad364e35, Size: 1103256
Folder: Microsoft.IdentityModel.resources, Size: 0
Folder: 3.5.0.0_en_31bf3856ad364e35, Size: 169554
Folder: Microsoft.IdentityModel.WindowsTokenService, Size: 0
Folder: 3.5.0.0__31bf3856ad364e35, Size: 60200
Folder: Microsoft.IdentityModel.WindowsTokenService.resources, Size: 0
Folder: 3.5.0.0_en_31bf3856ad364e35, Size: 12584
Folder: Microsoft.Ink.Resources, Size: 0
Folder: 6.1.0.0_en_31bf3856ad364e35, Size: 36864
Folder: Microsoft.IntelliTrace.12.0.0, Size: 0
Folder: 12.0.0.0__b03f5f7f11d50a3a, Size: 2128600
Folder: Microsoft.JScript, Size: 0
Folder: 8.0.0.0__b03f5f7f11d50a3a, Size: 749568
Folder: Microsoft.ManagementConsole, Size: 0
Folder: 3.0.0.0__31bf3856ad364e35, Size: 188416
Folder: Microsoft.ManagementConsole.Resources, Size: 0
Folder: 3.0.0.0_en_31bf3856ad364e35, Size: 16384
Folder: Microsoft.MediaCenter, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 385024
